family	pos	vel	rx	P_mc	P_ips	collapsed	secs	log
nav	3	1.0	1.0	0.00009	0.000092	0/10	2500	cns_sweep_20260728_085447/nav_pos3_vel1.0_rx1.0.log
nav	10	1.0	1.0	0.00005	0.000057	0/10	2541	cns_sweep_20260728_085447/nav_pos10_vel1.0_rx1.0.log
both	3	1.0	0.99	0.00009	0.000082	0/10	2529	cns_sweep_20260728_085447/both_pos3_vel1.0_rx0.99.log
both	3	1.0	0.90	0.00005	0.000056	0/10	2547	cns_sweep_20260728_085447/both_pos3_vel1.0_rx0.90.log
both	3	1.0	0.70	0.00003	0.000048	0/10	2605	cns_sweep_20260728_085447/both_pos3_vel1.0_rx0.70.log
both	3	1.0	0.50	0.00003	0.000025	0/10	2605	cns_sweep_20260728_085447/both_pos3_vel1.0_rx0.50.log
both	3	1.0	0.30	0.00004	0.000034	0/10	2707	cns_sweep_20260728_085447/both_pos3_vel1.0_rx0.30.log
both	3	1.0	0.12	0.00025	0.000231	0/10	2850	cns_sweep_20260728_085447/both_pos3_vel1.0_rx0.12.log
both	10	1.0	0.99	0.00005	0.000054	0/10	2591	cns_sweep_20260728_085447/both_pos10_vel1.0_rx0.99.log
both	10	1.0	0.90	0.00005	0.000041	0/10	2588	cns_sweep_20260728_085447/both_pos10_vel1.0_rx0.90.log
both	10	1.0	0.70	0.00003	0.000016	0/10	2607	cns_sweep_20260728_085447/both_pos10_vel1.0_rx0.70.log
both	10	1.0	0.50	0.00003	0.000039	0/10	2650	cns_sweep_20260728_085447/both_pos10_vel1.0_rx0.50.log
both	10	1.0	0.30	0.00003	0.000023	0/10	2699	cns_sweep_20260728_085447/both_pos10_vel1.0_rx0.30.log
