family	pos	vel	rx	P_mc_old	P_ips_old	P_ips_new	match	collapsed	secs_old	secs_new	log
both	10	1.0	0.30	0.00003	0.000023	0.000023	same	0/10	1083	276	ips_rerun_20260729_072950/both_pos10_vel1.0_rx0.30.log
both	10	1.0	0.50	0.00003	0.000039	0.000039	same	0/10	1031	272	ips_rerun_20260729_072950/both_pos10_vel1.0_rx0.50.log
both	10	1.0	0.70	0.00003	0.000016	0.000016	same	0/10	994	267	ips_rerun_20260729_072950/both_pos10_vel1.0_rx0.70.log
both	10	1.0	0.90	0.00005	0.000041	0.000041	same	0/10	963	255	ips_rerun_20260729_072950/both_pos10_vel1.0_rx0.90.log
both	10	1.0	0.99	0.00005	0.000054	0.000054	same	0/10	968	264	ips_rerun_20260729_072950/both_pos10_vel1.0_rx0.99.log
both	3	1.0	0.12	0.00025	0.000231	0.000231	same	0/10	1181	282	ips_rerun_20260729_072950/both_pos3_vel1.0_rx0.12.log
both	3	1.0	0.30	0.00004	0.000034	0.000034	same	0/10	1066	275	ips_rerun_20260729_072950/both_pos3_vel1.0_rx0.30.log
both	3	1.0	0.50	0.00003	0.000025	0.000025	same	0/10	1012	275	ips_rerun_20260729_072950/both_pos3_vel1.0_rx0.50.log
both	3	1.0	0.70	0.00003	0.000048	0.000048	same	0/10	1000	250	ips_rerun_20260729_072950/both_pos3_vel1.0_rx0.70.log
both	3	1.0	0.90	0.00005	0.000056	0.000056	same	0/10	951	265	ips_rerun_20260729_072950/both_pos3_vel1.0_rx0.90.log
both	3	1.0	0.99	0.00009	0.000082	0.000082	same	0/10	936	246	ips_rerun_20260729_072950/both_pos3_vel1.0_rx0.99.log
nav	10	1.0	1.0	0.00005	0.000057	0.000057	same	0/10	953	246	ips_rerun_20260729_072950/nav_pos10_vel1.0_rx1.0.log
nav	3	1.0	1.0	0.00009	0.000092	0.000092	same	0/10	918	245	ips_rerun_20260729_072950/nav_pos3_vel1.0_rx1.0.log
